Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
3.89999961853027 	-0.0416000362420164 	3.89999961853027 	0.00134276232599378 	
3.99999809265137 	-0.04970000877438 	3.99999809265137 	0.00137793368737949 	
4.10000038146973 	-0.0527999874138914 	4.10000038146973 	0.00141309799892709 	
4.19999885559082 	-0.0436999559424294 	4.19999885559082 	0.00144825260873072 	
4.30000114440918 	-0.0408000270872435 	4.30000114440918 	0.00148340017959443 	
4.39999961853027 	-0.0389000345276145 	4.39999961853027 	0.0015185380314108 	
4.49999809265137 	-0.0442000057264522 	4.49999809265137 	0.00155366750646038 	
4.60000038146973 	-0.0502999708187417 	4.60000038146973 	0.00158878994574552 	
4.69999885559082 	-0.0472999921803421 	4.69999885559082 	0.00162390267107613 	
4.80000114440918 	-0.0378000196506036 	4.80000114440918 	0.00165900836275957 	
4.89999961853027 	-0.0360000196451438 	4.89999961853027 	0.00169410434995854 	
4.99999809265137 	-0.0394999668169476 	4.99999809265137 	0.0017291919770793 	
5.10000038146973 	-0.0433999563247198 	5.10000038146973 	0.00176427257903704 	
5.19999885559082 	-0.0473999563255347 	5.19999885559082 	0.00179934348142021 	
5.30000114440918 	-0.0421999746358779 	5.30000114440918 	0.00183440736193195 	
5.39999961853027 	-0.0413999824559141 	5.39999961853027 	0.00186946154743644 	
5.49999809265137 	-0.0418999540343066 	5.49999809265137 	0.00190450737760801 	
5.60000038146973 	-0.0450000085838838 	5.60000038146973 	0.00193954619084607 	
5.69999885559082 	-0.0453999815035786 	5.69999885559082 	0.00197457531831077 	
5.80000114440918 	-0.0477000391038018 	5.80000114440918 	0.00200959743319591 	
5.89999961853027 	-0.0506000089662848 	5.89999961853027 	0.00204460986554595 	
5.99999809265137 	-0.0524999866502185 	5.99999809265137 	0.00207961395355301 	
6.10000038146973 	-0.0501999538464588 	6.10000038146973 	0.0021146110341359 	
6.19999885559082 	-0.0483999979041982 	6.19999885559082 	0.00214959843936625 	
6.30000114440918 	-0.0473999528876448 	6.30000114440918 	0.00218457884068794 	
6.39999961853027 	-0.0496000541716057 	6.39999961853027 	0.00221954957087538 	
6.49999809265137 	-0.0506999729186646 	6.49999809265137 	0.00225451196590455 	
6.60000038146973 	-0.0547999580412579 	6.60000038146973 	0.00228946736182611 	
